defining_file	declaring_file	definitions	scopes
src/oblib/common/udt/ob_udt_type.cpp	src/oblib/common/udt/ob_udt_type.h	14	oceanbase::common::ObSqlUDT=7;oceanbase::common::ObSqlUDTMeta=7
src/oblib/common/udt/ob_vector_type.cpp	src/oblib/common/udt/ob_vector_type.h	10	oceanbase::common::ObVectorF32Data=5;oceanbase::common::ObVectorU8Data=5
src/oblib/common/wide_integer/ob_wide_integer.cpp	src/oblib/common/wide_integer/ob_wide_integer_helper.h	12	oceanbase::common::wide::ObDecimalIntConstValue=9;oceanbase::common::wide::check_range_valid_int64=1;oceanbase::common::wide::check_range_valid_uint64=1
src/oblib/common/wide_integer/ob_wide_integer.cpp	src/oblib/common/wide_integer/ob_wide_integer_impl.h	1	oceanbase::common::wide::to_number=1
src/oblib/common/wide_integer/ob_wide_integer_cmp_funcs.cpp	src/oblib/common/wide_integer/ob_wide_integer_cmp_funcs.h	1	oceanbase::common::wide::ObDecimalIntCmpSet=1
src/oblib/common/wide_integer/ob_wide_integer_str_funcs.cpp	src/oblib/common/wide_integer/ob_wide_integer_str_funcs.h	12	oceanbase::common::wide::str_helper=10;oceanbase::common::wide::from_string=1;oceanbase::common::wide::to_string=1
src/oblib/common/wide_integer/ob_wide_integer_str_funcs.h	src/oblib/common/wide_integer/ob_wide_integer.h	1	oceanbase::common::wide::ObWideInteger=1
src/oblib/common/xml/ob_binary_aggregate.cpp	src/oblib/common/xml/ob_binary_aggregate.h	15	oceanbase::common::ObJsonBinAggSerializer=15
src/oblib/common/xml/ob_libxml2_sax_handler.cpp	src/oblib/common/xml/ob_libxml2_sax_handler.h	15	oceanbase::common::ObLibXml2SaxHandler=15
src/oblib/common/xml/ob_libxml2_sax_handler.cpp	src/oblib/common/xml/ob_xml_parser.h	28	oceanbase::common::ObLibXml2SaxParser=28
src/oblib/common/xml/ob_mul_mode_reader.cpp	src/oblib/common/xml/ob_mul_mode_reader.h	5	oceanbase::common::ObMulModeReader=5
src/oblib/common/xml/ob_multi_mode_bin.cpp	src/oblib/common/xml/ob_multi_mode_bin.h	12	oceanbase::common::ObMulBinHeaderSerializer=6;oceanbase::common::ObMulModeVar=5;oceanbase::common::ObMulModeContainerSerializer=1
src/oblib/common/xml/ob_multi_mode_interface.cpp	src/oblib/common/xml/ob_multi_mode_interface.h	32	oceanbase::common::ObIMulModeBase=25;oceanbase::common::ObPathPool=7
src/oblib/common/xml/ob_path_parser.cpp	src/oblib/common/xml/ob_path_parser.h	58	oceanbase::common::ObPathParser=47;oceanbase::common::ObPathParserUtil=11
src/oblib/common/xml/ob_tree_base.cpp	src/oblib/common/xml/ob_tree_base.h	49	oceanbase::common::ObLibContainerNode=27;oceanbase::common::ObLibContainerNode::iterator=17;oceanbase::common::ObLibTreeNodeBase=3
src/oblib/common/xml/ob_xml_parser.cpp	src/oblib/common/xml/ob_xml_parser.h	24	oceanbase::common::ObXmlParserBase=12;oceanbase::common::ObXmlParserUtils=12
src/oblib/common/xml/ob_xml_tree.cpp	src/oblib/common/xml/ob_xml_tree.h	63	oceanbase::common::ObXmlElement=36;oceanbase::common::ObXmlNode=13;oceanbase::common::ObXmlAttribute=7
src/oblib/common/xml/ob_xml_util.cpp	src/oblib/common/xml/ob_xml_util.h	34	oceanbase::common::ObXmlUtil=33;oceanbase::common::ObMulModeFactory=1
src/oblib/common/xml/ob_xpath.cpp	src/oblib/common/xml/ob_xpath.h	106	oceanbase::common::ObPathUtil=29;oceanbase::common::ObPathExprIter=10;oceanbase::common::ObPathFuncNode=9
src/oblib/grpc/ob_grpc_context.cpp	src/oblib/grpc/ob_grpc_context.h	10	oceanbase::obgrpc::ObGrpcContext=5;oceanbase::obgrpc::create_client_credentials=1;oceanbase::obgrpc::create_server_credentials=1
src/oblib/grpc/ob_grpc_server.cpp	src/oblib/grpc/ob_grpc_server.h	5	oceanbase::obgrpc::ObGrpcServer=5
src/oblib/lib/alloc/abit_set.cpp	src/oblib/lib/alloc/abit_set.h	3	oceanbase::lib::ABitSet=3
src/oblib/lib/alloc/alloc_failed_reason.cpp	src/oblib/lib/alloc/alloc_failed_reason.h	3	oceanbase::lib::alloc_failed_msg=1;oceanbase::lib::g_alloc_failed_ctx=1;oceanbase::lib::print_alloc_failed_msg=1
src/oblib/lib/alloc/alloc_func.cpp	src/oblib/lib/alloc/alloc_func.h	10	oceanbase::lib::errsim_alloc=1;oceanbase::lib::get_allocator_cache_hold=1;oceanbase::lib::get_allocator_memory_hold=1
src/oblib/lib/alloc/alloc_struct.cpp	src/oblib/lib/alloc/alloc_struct.h	14	oceanbase::lib::ObUnmanagedMemoryStat=4;oceanbase::lib::ObLabel=3;oceanbase::lib::ObMallocHookAttrGuard=2
src/oblib/lib/alloc/block_set.cpp	src/oblib/lib/alloc/block_set.h	15	oceanbase::lib::BlockSet=15
src/oblib/lib/alloc/malloc_hook.cpp	src/oblib/lib/alloc/malloc_hook.h	1	init_malloc_hook=1
src/oblib/lib/alloc/memory_dump.cpp	src/oblib/lib/alloc/memory_dump.h	14	oceanbase::common::ObMemoryDump=14
src/oblib/lib/alloc/ob_context_allocator.cpp	src/oblib/lib/alloc/ob_context_allocator.h	23	oceanbase::lib::ObContextAllocator=13;oceanbase::lib::ObContextAllocatorV2=10
src/oblib/lib/alloc/ob_ctx_allocator.cpp	src/oblib/lib/alloc/ob_ctx_allocator.h	23	oceanbase::lib::ObCtxAllocator=13;oceanbase::lib::ObCtxAllocatorState=10
src/oblib/lib/alloc/ob_ctx_define.cpp	src/oblib/lib/alloc/ob_ctx_define.h	1	oceanbase::common::ObCtxAttrCenter=1
src/oblib/lib/alloc/ob_malloc_allocator.cpp	src/oblib/lib/alloc/ob_malloc_allocator.h	25	oceanbase::lib::ObMallocAllocator=25
src/oblib/lib/alloc/ob_malloc_callback.cpp	src/oblib/lib/alloc/ob_malloc_callback.h	5	oceanbase::lib::ObMallocCallback=2;oceanbase::lib::ObMallocCallbackGuard=2;oceanbase::lib::ObDefaultMallocCallback=1
src/oblib/lib/alloc/ob_malloc_sample_struct.cpp	src/oblib/lib/alloc/ob_ctx_allocator.h	1	oceanbase::lib::malloc_sample_allowed=1
src/oblib/lib/alloc/ob_malloc_sample_struct.cpp	src/oblib/lib/alloc/ob_malloc_sample_struct.h	2	oceanbase::lib::ObMallocSampleLimiter=1;oceanbase::lib::malloc_sample_allowed=1
src/oblib/lib/alloc/object_mgr.cpp	src/oblib/lib/alloc/object_mgr.h	15	oceanbase::lib::ObjectMgr=12;oceanbase::lib::SubObjectMgr=3
src/oblib/lib/alloc/object_set.cpp	src/oblib/lib/alloc/object_set.h	23	oceanbase::lib::ObjectSet=23
