order	name	item_type	class	param_num	internal	registered	reached	reach_basis	eval_functions	eval_functions_run	probes	sql	constructor	files
328	geomcollection	T_FUN_SYS_GEOMCOLLECTION	ObExprGeomCollection	PARAM_NUM_UNKNOWN	0	release	0	eval functions set by ObExprGeomCollection::cg_expr; never created: ObExprOperatorFactory::alloc<ObExprGeomCollection> ran 0 times	1	0	14	geomcollection(PT, PT*)	src/sql/engine/expr/ob_expr_spatial_collection.cpp:468	s1_unreached_0112
329	geometrycollection	T_FUN_SYS_GEOMCOLLECTION	ObExprGeometryCollection	PARAM_NUM_UNKNOWN	0	release	1	eval functions set by ObExprGeometryCollection::cg_expr	1	1	14	geometrycollection(PT, PT*)	src/sql/engine/expr/ob_expr_spatial_collection.cpp:502	s2_reached_0093
330	st_geomfromtext	T_FUN_SYS_ST_GEOMFROMTEXT	ObExprSTGeomFromText	MORE_THAN_ZERO	0	release	1	eval functions set by ObExprSTGeomFromText::cg_expr	1	1	29	ST_GeomFromText(wkt [, srid [, options]])	src/sql/engine/expr/ob_expr_st_geomfromtext.cpp:30	s2_reached_0093
331	st_area	T_FUN_SYS_ST_AREA	ObExprSTArea	1	0	release	1	eval functions set by ObExprSTArea::cg_expr	1	1	21	st_area(G)	src/sql/engine/expr/ob_expr_st_area.cpp:32	s2_reached_0094
332	st_intersects	T_FUN_SYS_ST_INTERSECTS	ObExprSTIntersects	2	0	release	1	eval functions set by ObExprSTIntersects::cg_expr	1	1	28	st_intersects(G, G2)	src/sql/engine/expr/ob_expr_st_intersects.cpp:29	s2_reached_0094
333	st_x	T_FUN_SYS_ST_X	ObExprSTX	ONE_OR_TWO	0	release	1	eval functions set by ObExprSTX::cg_expr	1	1	33	st_x(G, N?)	src/sql/engine/expr/ob_expr_st_x.h:68	s2_reached_0095
334	st_y	T_FUN_SYS_ST_Y	ObExprSTY	ONE_OR_TWO	0	release	1	eval functions set by ObExprSTY::cg_expr	1	1	33	st_y(G, N?)	src/sql/engine/expr/ob_expr_st_x.h:83	s2_reached_0095,s2_reached_0096
335	st_latitude	T_FUN_SYS_ST_LATITUDE	ObExprSTLatitude	ONE_OR_TWO	0	release	1	eval functions set by ObExprSTLatitude::cg_expr	1	1	33	st_latitude(G, N?)	src/sql/engine/expr/ob_expr_st_x.h:98	s2_reached_0096
336	st_longitude	T_FUN_SYS_ST_LONGITUDE	ObExprSTLongitude	ONE_OR_TWO	0	release	1	eval functions set by ObExprSTLongitude::cg_expr	1	1	33	st_longitude(G, N?)	src/sql/engine/expr/ob_expr_st_x.h:113	s2_reached_0097
337	st_transform	T_FUN_SYS_ST_TRANSFORM	ObExprSTTransform	2	0	release	1	eval functions set by ObExprSTTransform::cg_expr	1	1	26	ST_Transform(g, srid)	src/sql/engine/expr/ob_expr_st_transform.cpp:30	s2_reached_0097,s2_reached_0098
338	_st_transform	T_FUN_SYS_PRIV_ST_TRANSFORM	ObExprPrivSTTransform	TWO_OR_THREE	0	release	1	eval functions set by ObExprPrivSTTransform::cg_expr	1	1	37	_st_transform(G, SRID, S?)	src/sql/engine/expr/ob_expr_priv_st_transform.cpp:30	s2_reached_0098
339	_st_covers	T_FUN_SYS_ST_COVERS	ObExprPrivSTCovers	2	0	release	1	eval functions set by ObExprPrivSTCovers::cg_expr	1	1	28	_st_covers(G2, G)	src/sql/engine/expr/ob_expr_st_covers.cpp:33	s2_reached_0099
340	_st_bestsrid	T_FUN_SYS_PRIV_ST_BESTSRID	ObExprPrivSTBestsrid	ONE_OR_TWO	0	release	0	eval functions set by ObExprPrivSTBestsrid::cg_expr; never created: ObExprOperatorFactory::alloc<ObExprPrivSTBestsrid> ran 0 times	1	0	31	_st_bestsrid(G, G?)	src/sql/engine/expr/ob_expr_st_bestsrid.cpp:31	s1_unreached_0113
341	st_astext	T_FUN_SYS_ST_ASTEXT	ObExprSTAsText	MORE_THAN_ZERO	0	release	1	eval functions set by ObExprSTAsText::cg_expr	1	1	19	st_astext(G)	src/sql/engine/expr/ob_expr_st_astext.cpp:31	s2_reached_0099
342	st_aswkt	T_FUN_SYS_ST_ASWKT	ObExprSTAsWkt	MORE_THAN_ZERO	0	release	1	eval functions set by ObExprSTAsWkt::cg_expr	2	2	19	st_aswkt(G)	src/sql/engine/expr/ob_expr_st_astext.h:62	s2_reached_0100
343	st_buffer_strategy	T_FUN_SYS_ST_BUFFER_STRATEGY	ObExprSTBufferStrategy	ONE_OR_TWO	0	release	1	eval functions set by ObExprSTBufferStrategy::cg_expr	1	1	25	st_buffer_strategy(S, I)	src/sql/engine/expr/ob_expr_st_buffer.cpp:37	s2_reached_0100
